timestamp,category_id,daily_units_sold,daily_units_returned,net_units_sold,rolling_7d_avg
2025-11-04,ELECTRONIC,10,0,10,11.428571428571429
2025-11-05,ELECTRONIC,9,0,9,11.285714285714286
2025-11-06,ELECTRONIC,25,0,25,14.285714285714286
2025-11-07,ELECTRONIC,8,1,7,12.428571428571429
2025-11-08,ELECTRONIC,11,0,11,12.285714285714286
2025-11-09,ELECTRONIC,15,0,15,13.0
2025-11-10,ELECTRONIC,5,0,5,11.714285714285714
2025-11-11,ELECTRONIC,17,1,16,12.571428571428571
2025-11-12,ELECTRONIC,13,0,13,13.142857142857142
2025-11-13,ELECTRONIC,0,0,0,9.571428571428571
2025-11-14,ELECTRONIC,8,0,8,9.714285714285714
2025-11-15,ELECTRONIC,12,0,12,9.857142857142858
2025-11-16,ELECTRONIC,11,0,11,9.285714285714286
2025-11-17,ELECTRONIC,20,0,20,11.428571428571429
2025-11-18,ELECTRONIC,19,0,19,11.857142857142858
2025-11-19,ELECTRONIC,5,0,5,10.714285714285714
2025-11-20,ELECTRONIC,17,2,15,12.857142857142858
2025-11-21,ELECTRONIC,19,0,19,14.428571428571429
2025-11-22,ELECTRONIC,5,0,5,13.428571428571429
2025-11-23,ELECTRONIC,10,4,6,12.714285714285714
2025-11-24,ELECTRONIC,15,0,15,12.0
2025-11-25,ELECTRONIC,6,1,5,10.0
2025-11-26,ELECTRONIC,11,0,11,10.857142857142858
2025-11-27,ELECTRONIC,1,1,0,8.714285714285714
2025-11-28,ELECTRONIC,12,0,12,7.714285714285714
2025-11-29,ELECTRONIC,8,0,8,8.142857142857142
2025-11-30,ELECTRONIC,11,0,11,8.857142857142858
2025-12-01,ELECTRONIC,4,0,4,7.285714285714286
2025-12-02,ELECTRONIC,2,0,2,6.857142857142857
2025-12-03,ELECTRONIC,7,0,7,6.285714285714286
2025-12-04,ELECTRONIC,13,0,13,8.142857142857142
2025-12-05,ELECTRONIC,4,0,4,7.0
2025-12-06,ELECTRONIC,13,0,13,7.714285714285714
2025-12-07,ELECTRONIC,9,0,9,7.428571428571429
2025-12-08,ELECTRONIC,19,1,18,9.428571428571429
2025-12-09,ELECTRONIC,7,0,7,10.142857142857142
2025-12-10,ELECTRONIC,14,1,13,11.0
2025-12-11,ELECTRONIC,4,0,4,9.714285714285714
2025-12-12,ELECTRONIC,10,0,10,10.571428571428571
2025-12-13,ELECTRONIC,18,0,18,11.285714285714286
2025-12-14,ELECTRONIC,11,0,11,11.571428571428571
2025-12-15,ELECTRONIC,9,1,8,10.142857142857142
2025-12-16,ELECTRONIC,27,0,27,13.0
2025-12-17,ELECTRONIC,11,0,11,12.714285714285714
2025-12-18,ELECTRONIC,16,0,16,14.428571428571429
2025-12-19,ELECTRONIC,10,0,10,14.428571428571429
2025-12-20,ELECTRONIC,6,0,6,12.714285714285714
2025-12-21,ELECTRONIC,8,0,8,12.285714285714286
2025-12-22,ELECTRONIC,6,1,5,11.857142857142858
2025-12-23,ELECTRONIC,20,0,20,10.857142857142858
2025-12-24,ELECTRONIC,5,0,5,10.0
2025-12-25,ELECTRONIC,4,0,4,8.285714285714286
2025-12-26,ELECTRONIC,9,1,8,8.0
2025-12-27,ELECTRONIC,3,0,3,7.571428571428571
2025-12-28,ELECTRONIC,3,0,3,6.857142857142857
2025-12-29,ELECTRONIC,8,0,8,7.285714285714286
2025-12-30,ELECTRONIC,4,0,4,5.0
2025-12-31,ELECTRONIC,4,0,4,4.857142857142857
2026-01-01,ELECTRONIC,12,1,11,5.857142857142857
2026-01-02,ELECTRONIC,17,0,17,7.142857142857143
2026-01-03,ELECTRONIC,13,1,12,8.428571428571429
2026-01-04,ELECTRONIC,10,2,8,9.142857142857142
2026-01-05,ELECTRONIC,5,0,5,8.714285714285714
2026-01-06,ELECTRONIC,7,0,7,9.142857142857142
2026-01-07,ELECTRONIC,8,0,8,9.714285714285714
2026-01-08,ELECTRONIC,11,2,9,9.428571428571429
2026-01-09,ELECTRONIC,7,1,6,7.857142857142857
2026-01-10,ELECTRONIC,6,0,6,7.0
2026-01-11,ELECTRONIC,12,1,11,7.428571428571429
2026-01-12,ELECTRONIC,18,0,18,9.285714285714286
2026-01-13,ELECTRONIC,3,0,3,8.714285714285714
2026-01-14,ELECTRONIC,12,0,12,9.285714285714286
2026-01-15,ELECTRONIC,22,0,22,11.142857142857142
2026-01-16,ELECTRONIC,9,0,9,11.571428571428571
2026-01-17,ELECTRONIC,12,1,11,12.285714285714286
2026-01-18,ELECTRONIC,14,0,14,12.714285714285714
2026-01-19,ELECTRONIC,10,0,10,11.571428571428571
2026-01-20,ELECTRONIC,1,0,1,11.285714285714286
2026-01-21,ELECTRONIC,16,0,16,11.857142857142858
2026-01-22,ELECTRONIC,11,2,9,10.0
2026-01-23,ELECTRONIC,6,0,6,9.571428571428571
2026-01-24,ELECTRONIC,5,4,1,8.142857142857142
2026-01-25,ELECTRONIC,14,0,14,8.142857142857142
2026-01-26,ELECTRONIC,12,0,12,8.428571428571429
2026-01-27,ELECTRONIC,31,0,31,12.714285714285714
2026-01-28,ELECTRONIC,10,0,10,11.857142857142858
2026-01-29,ELECTRONIC,8,0,8,11.714285714285714
2026-01-30,ELECTRONIC,15,0,15,13.0
2026-01-31,ELECTRONIC,18,0,18,15.428571428571429
2026-02-01,ELECTRONIC,12,0,12,15.142857142857142
2026-02-02,ELECTRONIC,6,0,6,14.285714285714286
2026-02-03,ELECTRONIC,4,0,4,10.428571428571429
2026-02-04,ELECTRONIC,3,0,3,9.428571428571429
2026-02-05,ELECTRONIC,18,0,18,10.857142857142858
2026-02-06,ELECTRONIC,0,0,0,8.714285714285714
2026-02-07,ELECTRONIC,12,2,10,7.571428571428571
2026-02-08,ELECTRONIC,20,0,20,8.714285714285714
2026-02-09,ELECTRONIC,15,0,15,10.0
2026-02-10,ELECTRONIC,5,0,5,10.142857142857142
2026-02-11,ELECTRONIC,10,1,9,11.0
2026-02-12,ELECTRONIC,5,0,5,9.142857142857142
2026-02-13,ELECTRONIC,9,0,9,10.428571428571429
2026-02-14,ELECTRONIC,9,1,8,10.142857142857142
2026-02-15,ELECTRONIC,7,0,7,8.285714285714286
2026-02-16,ELECTRONIC,5,0,5,6.857142857142857
2026-02-17,ELECTRONIC,8,0,8,7.285714285714286
2026-02-18,ELECTRONIC,15,0,15,8.142857142857142
2026-02-19,ELECTRONIC,11,0,11,9.0
2026-02-20,ELECTRONIC,9,0,9,9.0
2026-02-21,ELECTRONIC,5,1,4,8.428571428571429
2026-02-22,ELECTRONIC,3,0,3,7.857142857142857
2026-02-23,ELECTRONIC,24,0,24,10.571428571428571
2026-02-24,ELECTRONIC,22,0,22,12.571428571428571
2026-02-25,ELECTRONIC,2,0,2,10.714285714285714
2026-02-26,ELECTRONIC,10,2,8,10.285714285714286
2026-02-27,ELECTRONIC,12,0,12,10.714285714285714
2026-02-28,ELECTRONIC,7,0,7,11.142857142857142
2026-03-01,ELECTRONIC,8,0,8,11.857142857142858
2026-03-02,ELECTRONIC,10,0,10,9.857142857142858
2026-03-03,ELECTRONIC,3,2,1,6.857142857142857
2026-03-04,ELECTRONIC,6,0,6,7.428571428571429
2026-03-05,ELECTRONIC,19,0,19,9.0
2026-03-06,ELECTRONIC,13,0,13,9.142857142857142
2026-03-07,ELECTRONIC,19,3,16,10.428571428571429
2026-03-08,ELECTRONIC,3,0,3,9.714285714285714
2026-03-09,ELECTRONIC,11,1,10,9.714285714285714
2026-03-10,ELECTRONIC,8,0,8,10.714285714285714
2026-03-11,ELECTRONIC,1,0,1,10.0
2026-03-12,ELECTRONIC,20,0,20,10.142857142857142
2026-03-13,ELECTRONIC,13,0,13,10.142857142857142
2026-03-14,ELECTRONIC,6,0,6,8.714285714285714
2026-03-15,ELECTRONIC,11,0,11,9.857142857142858
2026-03-16,ELECTRONIC,13,0,13,10.285714285714286
2026-03-17,ELECTRONIC,11,0,11,10.714285714285714
2026-03-18,ELECTRONIC,7,1,6,11.428571428571429
2026-03-19,ELECTRONIC,17,0,17,11.0
2026-03-20,ELECTRONIC,15,0,15,11.285714285714286
2026-03-21,ELECTRONIC,12,0,12,12.142857142857142
2026-03-22,ELECTRONIC,14,1,13,12.428571428571429
2026-03-23,ELECTRONIC,3,0,3,11.0
2026-03-24,ELECTRONIC,8,0,8,10.571428571428571
2026-03-25,ELECTRONIC,21,1,20,12.571428571428571
2026-03-26,ELECTRONIC,21,0,21,13.142857142857142
2026-03-27,ELECTRONIC,7,0,7,12.0
2026-03-28,ELECTRONIC,4,0,4,10.857142857142858
2026-03-29,ELECTRONIC,17,0,17,11.428571428571429
2026-03-30,ELECTRONIC,4,0,4,11.571428571428571
2026-03-31,ELECTRONIC,3,0,3,10.857142857142858
2026-04-01,ELECTRONIC,6,0,6,8.857142857142858
2026-04-02,ELECTRONIC,20,0,20,8.714285714285714
2026-04-03,ELECTRONIC,1,0,1,7.857142857142857
2026-04-04,ELECTRONIC,6,0,6,8.142857142857142
2026-04-05,ELECTRONIC,4,0,4,6.285714285714286
2026-04-06,ELECTRONIC,13,2,11,7.285714285714286
2026-04-07,ELECTRONIC,8,0,8,8.0
2026-04-08,ELECTRONIC,5,0,5,7.857142857142857
2026-04-09,ELECTRONIC,12,0,12,6.714285714285714
2026-04-10,ELECTRONIC,15,0,15,8.714285714285714
2026-04-11,ELECTRONIC,10,0,10,9.285714285714286
2026-04-12,ELECTRONIC,6,0,6,9.571428571428571
2026-04-13,ELECTRONIC,1,0,1,8.142857142857142
2026-04-14,ELECTRONIC,7,0,7,8.0
2026-04-15,ELECTRONIC,8,0,8,8.428571428571429
2026-04-16,ELECTRONIC,11,0,11,8.285714285714286
2026-04-17,ELECTRONIC,13,0,13,8.0
2026-04-18,ELECTRONIC,20,0,20,9.428571428571429
2026-04-19,ELECTRONIC,3,0,3,9.0
2026-04-20,ELECTRONIC,5,0,5,9.571428571428571
2026-04-21,ELECTRONIC,10,1,9,9.857142857142858
2026-04-22,ELECTRONIC,9,0,9,10.0
2026-04-23,ELECTRONIC,20,0,20,11.285714285714286
2026-04-24,ELECTRONIC,10,0,10,10.857142857142858
2026-04-25,ELECTRONIC,3,0,3,8.428571428571429
2026-04-26,ELECTRONIC,12,1,11,9.571428571428571
2026-04-27,ELECTRONIC,16,1,15,11.0
2026-04-28,ELECTRONIC,11,0,11,11.285714285714286
2026-04-29,ELECTRONIC,9,0,9,11.285714285714286
2026-04-30,ELECTRONIC,17,0,17,10.857142857142858
2026-05-01,ELECTRONIC,8,0,8,10.571428571428571
2026-05-02,ELECTRONIC,5,1,4,10.714285714285714
2026-05-03,ELECTRONIC,3,0,3,9.571428571428571
2026-05-04,ELECTRONIC,8,0,8,8.571428571428571
2026-05-05,ELECTRONIC,4,0,4,7.571428571428571
2026-05-06,ELECTRONIC,5,0,5,7.0
2026-05-07,ELECTRONIC,10,0,10,6.0
2026-05-08,ELECTRONIC,5,0,5,5.571428571428571
2026-05-09,ELECTRONIC,7,0,7,6.0
2026-05-10,ELECTRONIC,7,0,7,6.571428571428571
2026-05-11,ELECTRONIC,24,0,24,8.857142857142858
2026-05-12,ELECTRONIC,5,1,4,8.857142857142858
2026-05-13,ELECTRONIC,8,0,8,9.285714285714286
2026-05-14,ELECTRONIC,8,0,8,9.0
2026-05-15,ELECTRONIC,6,0,6,9.142857142857142
2026-05-16,ELECTRONIC,6,5,1,8.285714285714286
2026-05-17,ELECTRONIC,11,0,11,8.857142857142858
2026-05-18,ELECTRONIC,11,0,11,7.0
2026-05-19,ELECTRONIC,17,0,17,8.857142857142858
2026-05-20,ELECTRONIC,15,0,15,9.857142857142858
2026-05-21,ELECTRONIC,15,0,15,10.857142857142858
2026-05-22,ELECTRONIC,5,1,4,10.571428571428571
2026-05-23,ELECTRONIC,5,0,5,11.142857142857142
2026-05-24,ELECTRONIC,11,0,11,11.142857142857142
2026-05-25,ELECTRONIC,26,0,26,13.285714285714286
2026-05-26,ELECTRONIC,16,0,16,13.142857142857142
2026-05-27,ELECTRONIC,12,0,12,12.714285714285714
2026-05-28,ELECTRONIC,6,0,6,11.428571428571429
2026-05-29,ELECTRONIC,25,3,22,14.0
2026-05-30,ELECTRONIC,16,0,16,15.571428571428571
2026-05-31,ELECTRONIC,8,0,8,15.142857142857142
2026-06-01,ELECTRONIC,7,0,7,12.428571428571429
2026-06-02,ELECTRONIC,18,0,18,12.714285714285714
2026-06-03,ELECTRONIC,5,0,5,11.714285714285714
2026-06-04,ELECTRONIC,14,0,14,12.857142857142858
2026-06-05,ELECTRONIC,7,0,7,10.714285714285714
2026-06-06,ELECTRONIC,20,1,19,11.142857142857142
2026-06-07,ELECTRONIC,1,0,1,10.142857142857142
2026-06-08,ELECTRONIC,16,0,16,11.428571428571429
2026-06-09,ELECTRONIC,4,0,4,9.428571428571429
2026-06-10,ELECTRONIC,11,0,11,10.285714285714286
2026-06-11,ELECTRONIC,9,0,9,9.571428571428571
2026-06-12,ELECTRONIC,17,0,17,11.0
2026-06-13,ELECTRONIC,14,0,14,10.285714285714286
2026-06-14,ELECTRONIC,4,0,4,10.714285714285714
2026-06-15,ELECTRONIC,11,1,10,9.857142857142858
2026-06-16,ELECTRONIC,13,0,13,11.142857142857142
2026-06-17,ELECTRONIC,8,0,8,10.714285714285714
2026-06-18,ELECTRONIC,13,0,13,11.285714285714286
2026-06-19,ELECTRONIC,10,0,10,10.285714285714286
2026-06-20,ELECTRONIC,7,1,6,9.142857142857142
2026-06-21,ELECTRONIC,8,1,7,9.571428571428571
2026-06-22,ELECTRONIC,8,0,8,9.285714285714286
2026-06-23,ELECTRONIC,16,0,16,9.714285714285714
2026-06-24,ELECTRONIC,11,0,11,10.142857142857142
2026-06-25,ELECTRONIC,15,0,15,10.428571428571429
2026-06-26,ELECTRONIC,10,0,10,10.428571428571429
2026-06-27,ELECTRONIC,12,0,12,11.285714285714286
2026-06-28,ELECTRONIC,5,0,5,11.0
2026-06-29,ELECTRONIC,15,0,15,12.0
2026-06-30,ELECTRONIC,15,0,15,11.857142857142858
2026-07-01,ELECTRONIC,4,0,4,10.857142857142858
2026-07-02,ELECTRONIC,25,0,25,12.285714285714286
2026-07-03,ELECTRONIC,12,0,12,12.571428571428571
2026-07-04,ELECTRONIC,13,0,13,12.714285714285714
2026-07-05,ELECTRONIC,10,0,10,13.428571428571429
2026-07-06,ELECTRONIC,12,0,12,13.0
2026-07-07,ELECTRONIC,10,0,10,12.285714285714286
2026-07-08,ELECTRONIC,15,0,15,13.857142857142858
2026-07-09,ELECTRONIC,30,4,26,14.0
2026-07-10,ELECTRONIC,26,0,26,16.0
2026-07-11,ELECTRONIC,8,0,8,15.285714285714286
2026-07-12,ELECTRONIC,6,0,6,14.714285714285714
2026-07-13,ELECTRONIC,25,0,25,16.571428571428573
2026-07-14,ELECTRONIC,14,0,14,17.142857142857142
2026-07-15,ELECTRONIC,8,1,7,16.0
2026-07-16,ELECTRONIC,8,0,8,13.428571428571429
2026-07-17,ELECTRONIC,13,1,12,11.428571428571429
2026-07-18,ELECTRONIC,12,0,12,12.0
2026-07-19,ELECTRONIC,15,0,15,13.285714285714286
2026-07-20,ELECTRONIC,13,0,13,11.571428571428571
2026-07-21,ELECTRONIC,2,0,2,9.857142857142858
2026-07-22,ELECTRONIC,3,0,3,9.285714285714286
2026-07-23,ELECTRONIC,7,0,7,9.142857142857142
2026-07-24,ELECTRONIC,9,1,8,8.571428571428571
2026-07-25,ELECTRONIC,17,5,12,8.571428571428571
2026-07-26,ELECTRONIC,2,0,2,6.714285714285714
2026-07-27,ELECTRONIC,2,0,2,5.142857142857143
2025-09-01,FASTENERS,33,0,33,33.0
2025-09-02,FASTENERS,38,0,38,35.5
2025-09-03,FASTENERS,36,0,36,35.666666666666664
2025-09-04,FASTENERS,55,0,55,40.5
2025-09-05,FASTENERS,38,0,38,40.0
2025-09-06,FASTENERS,32,0,32,38.66666666666666
2025-09-07,FASTENERS,31,0,31,37.57142857142857
2025-09-08,FASTENERS,25,0,25,36.42857142857143
2025-09-09,FASTENERS,14,0,14,33.0
2025-09-10,FASTENERS,59,0,59,36.285714285714285
2025-09-11,FASTENERS,38,0,38,33.857142857142854
2025-09-12,FASTENERS,25,0,25,32.0
2025-09-13,FASTENERS,53,0,53,35.0
2025-09-14,FASTENERS,39,0,39,36.142857142857146
2025-09-15,FASTENERS,49,0,49,39.57142857142857
2025-09-16,FASTENERS,31,0,31,42.0
2025-09-17,FASTENERS,20,1,19,36.285714285714285
2025-09-18,FASTENERS,6,0,6,31.714285714285715
2025-09-19,FASTENERS,39,0,39,33.714285714285715
2025-09-20,FASTENERS,29,0,29,30.285714285714285
2025-09-21,FASTENERS,55,1,54,32.42857142857143
2025-09-22,FASTENERS,23,0,23,28.714285714285715
2025-09-23,FASTENERS,30,0,30,28.571428571428573
2025-09-24,FASTENERS,24,0,24,29.285714285714285
2025-09-25,FASTENERS,76,0,76,39.285714285714285
2025-09-26,FASTENERS,43,0,43,39.85714285714285
2025-09-27,FASTENERS,73,0,73,46.142857142857146
2025-09-28,FASTENERS,44,0,44,44.71428571428572
2025-09-29,FASTENERS,50,0,50,48.57142857142857
2025-09-30,FASTENERS,61,0,61,53.0
2025-10-01,FASTENERS,38,0,38,55.0
2025-10-02,FASTENERS,61,0,61,52.85714285714285
2025-10-03,FASTENERS,14,0,14,48.71428571428572
2025-10-04,FASTENERS,18,0,18,40.85714285714285
2025-10-05,FASTENERS,31,0,31,39.0
2025-10-06,FASTENERS,19,0,19,34.57142857142857
2025-10-07,FASTENERS,36,0,36,31.0
2025-10-08,FASTENERS,59,0,59,34.0
2025-10-09,FASTENERS,26,0,26,29.0
2025-10-10,FASTENERS,8,0,8,28.142857142857142
2025-10-11,FASTENERS,68,0,68,35.285714285714285
2025-10-12,FASTENERS,15,0,15,33.0
2025-10-13,FASTENERS,55,0,55,38.142857142857146
2025-10-14,FASTENERS,9,0,9,34.285714285714285
2025-10-15,FASTENERS,55,0,55,33.714285714285715
2025-10-16,FASTENERS,59,8,51,37.285714285714285
2025-10-17,FASTENERS,43,0,43,42.285714285714285
2025-10-18,FASTENERS,25,0,25,36.142857142857146
2025-10-19,FASTENERS,44,0,44,40.285714285714285
2025-10-20,FASTENERS,35,0,35,37.42857142857143
2025-10-21,FASTENERS,25,0,25,39.71428571428572
2025-10-22,FASTENERS,54,0,54,39.57142857142857
2025-10-23,FASTENERS,10,0,10,33.714285714285715
2025-10-24,FASTENERS,54,0,54,35.285714285714285
2025-10-25,FASTENERS,35,0,35,36.71428571428572
2025-10-26,FASTENERS,58,0,58,38.71428571428572
2025-10-27,FASTENERS,15,1,14,35.714285714285715
2025-10-28,FASTENERS,61,3,58,40.42857142857143
2025-10-29,FASTENERS,62,0,62,41.57142857142857
2025-10-30,FASTENERS,33,0,33,44.85714285714285
2025-10-31,FASTENERS,62,9,53,44.71428571428572
2025-11-01,FASTENERS,31,0,31,44.142857142857146
2025-11-02,FASTENERS,33,0,33,40.57142857142857
2025-11-03,FASTENERS,21,0,21,41.57142857142857
2025-11-04,FASTENERS,35,0,35,38.285714285714285
2025-11-05,FASTENERS,16,0,16,31.714285714285715
2025-11-06,FASTENERS,29,0,29,31.142857142857142
2025-11-07,FASTENERS,10,0,10,25.0
2025-11-08,FASTENERS,72,0,72,30.857142857142858
2025-11-09,FASTENERS,19,0,19,28.857142857142858
2025-11-10,FASTENERS,15,0,15,28.0
2025-11-11,FASTENERS,31,0,31,27.428571428571427
2025-11-12,FASTENERS,28,0,28,29.142857142857142
2025-11-13,FASTENERS,43,0,43,31.142857142857142
2025-11-14,FASTENERS,13,0,13,31.571428571428573
2025-11-15,FASTENERS,38,0,38,26.714285714285715
2025-11-16,FASTENERS,28,7,21,27.0
2025-11-17,FASTENERS,20,0,20,27.714285714285715
2025-11-18,FASTENERS,21,0,21,26.285714285714285
2025-11-19,FASTENERS,38,6,32,26.857142857142858
2025-11-20,FASTENERS,54,5,49,27.714285714285715
2025-11-21,FASTENERS,54,0,54,33.57142857142857
2025-11-22,FASTENERS,27,0,27,32.0
2025-11-23,FASTENERS,12,0,12,30.714285714285715
2025-11-24,FASTENERS,9,0,9,29.142857142857142
2025-11-25,FASTENERS,40,0,40,31.857142857142858
2025-11-26,FASTENERS,57,0,57,35.42857142857143
2025-11-27,FASTENERS,44,0,44,34.714285714285715
2025-11-28,FASTENERS,49,0,49,34.0
2025-11-29,FASTENERS,49,1,48,37.0
2025-11-30,FASTENERS,24,0,24,38.71428571428572
2025-12-01,FASTENERS,31,0,31,41.85714285714285
2025-12-02,FASTENERS,17,0,17,38.57142857142857
2025-12-03,FASTENERS,62,0,62,39.285714285714285
2025-12-04,FASTENERS,71,8,63,42.0
2025-12-05,FASTENERS,59,0,59,43.42857142857143
2025-12-06,FASTENERS,26,0,26,40.285714285714285
2025-12-07,FASTENERS,42,0,42,42.85714285714285
2025-12-08,FASTENERS,25,10,15,40.57142857142857
2025-12-09,FASTENERS,9,0,9,39.42857142857143
2025-12-10,FASTENERS,26,0,26,34.285714285714285
2025-12-11,FASTENERS,9,0,9,26.571428571428573
2025-12-12,FASTENERS,25,0,25,21.714285714285715
2025-12-13,FASTENERS,38,0,38,23.428571428571427
2025-12-14,FASTENERS,45,0,45,23.857142857142858
2025-12-15,FASTENERS,11,0,11,23.285714285714285
2025-12-16,FASTENERS,57,0,57,30.142857142857142
2025-12-17,FASTENERS,28,0,28,30.428571428571427
2025-12-18,FASTENERS,14,0,14,31.142857142857142
2025-12-19,FASTENERS,56,3,53,35.142857142857146
2025-12-20,FASTENERS,48,0,48,36.57142857142857
2025-12-21,FASTENERS,45,0,45,36.57142857142857
2025-12-22,FASTENERS,28,0,28,39.0
2025-12-23,FASTENERS,61,0,61,39.57142857142857
2025-12-24,FASTENERS,46,0,46,42.142857142857146
2025-12-25,FASTENERS,43,4,39,45.71428571428572
2025-12-26,FASTENERS,47,0,47,44.85714285714285
2025-12-27,FASTENERS,35,0,35,43.0
2025-12-28,FASTENERS,40,0,40,42.285714285714285
2025-12-29,FASTENERS,30,0,30,42.57142857142857
2025-12-30,FASTENERS,34,0,34,38.71428571428572
2025-12-31,FASTENERS,33,0,33,36.85714285714285
2026-01-01,FASTENERS,44,0,44,37.57142857142857
2026-01-02,FASTENERS,27,5,22,34.0
2026-01-03,FASTENERS,51,0,51,36.285714285714285
2026-01-04,FASTENERS,48,0,48,37.42857142857143
2026-01-05,FASTENERS,47,0,47,39.85714285714285
2026-01-06,FASTENERS,4,0,4,35.57142857142857
2026-01-07,FASTENERS,40,0,40,36.57142857142857
2026-01-08,FASTENERS,31,0,31,34.714285714285715
2026-01-09,FASTENERS,41,0,41,37.42857142857143
2026-01-10,FASTENERS,45,2,43,36.285714285714285
2026-01-11,FASTENERS,56,0,56,37.42857142857143
2026-01-12,FASTENERS,34,0,34,35.57142857142857
2026-01-13,FASTENERS,54,0,54,42.71428571428572
2026-01-14,FASTENERS,73,0,73,47.42857142857143
2026-01-15,FASTENERS,37,0,37,48.285714285714285
2026-01-16,FASTENERS,53,0,53,50.0
2026-01-17,FASTENERS,33,0,33,48.57142857142857
2026-01-18,FASTENERS,69,0,69,50.42857142857143
2026-01-19,FASTENERS,34,0,34,50.42857142857143
2026-01-20,FASTENERS,32,0,32,47.285714285714285
2026-01-21,FASTENERS,29,0,29,41.0
2026-01-22,FASTENERS,49,0,49,42.71428571428572
2026-01-23,FASTENERS,53,0,53,42.71428571428572
2026-01-24,FASTENERS,75,0,75,48.71428571428572
2026-01-25,FASTENERS,27,0,27,42.71428571428572
2026-01-26,FASTENERS,23,0,23,41.142857142857146
2026-01-27,FASTENERS,38,0,38,42.0
2026-01-28,FASTENERS,26,0,26,41.57142857142857
2026-01-29,FASTENERS,29,0,29,38.71428571428572
2026-01-30,FASTENERS,12,0,12,32.857142857142854
2026-01-31,FASTENERS,26,0,26,25.857142857142858
2026-02-01,FASTENERS,86,0,86,34.285714285714285
2026-02-02,FASTENERS,11,0,11,32.57142857142857
