id,warehouse_id,part_id,on_hand,reserved,damaged,available,reorder_level
81,WH-Midwest-OH,ELE-2001,39,5,0,34,8
82,WH-Pacific-WA,ELE-2001,45,6,0,39,10
83,WH-Mountain-CO,ELE-2001,37,3,0,34,8
84,WH-Southwest-AZ,ELE-2001,38,4,0,34,7
85,WH-Southeast-GA,ELE-2001,45,5,0,40,9
86,WH-Northeast-NY,ELE-2001,45,6,0,39,11
87,WH-MidAtlantic-VA,ELE-2001,48,4,0,44,11
88,WH-GreatLakes-MI,ELE-2001,38,4,0,34,8
89,WH-SouthCentral-OK,ELE-2001,41,5,0,36,8
90,WH-Rockies-UT,ELE-2001,48,7,0,41,10
91,WH-Central-TX,ELE-2002,27,3,0,24,4
92,WH-East-NC,ELE-2002,36,5,0,31,8
93,WH-West-CA,ELE-2002,23,2,0,21,3
94,WH-North-IL,ELE-2002,29,3,0,26,5
95,WH-South-FL,ELE-2002,30,4,0,26,7
96,WH-Midwest-OH,ELE-2002,29,4,0,25,5
97,WH-Pacific-WA,ELE-2002,37,3,0,34,8
98,WH-Mountain-CO,ELE-2002,28,3,0,25,5
99,WH-Southwest-AZ,ELE-2002,28,3,0,25,4
100,WH-Southeast-GA,ELE-2002,30,4,0,26,6
101,WH-Northeast-NY,ELE-2002,37,3,0,34,9
102,WH-MidAtlantic-VA,ELE-2002,28,3,0,25,6
103,WH-GreatLakes-MI,ELE-2002,29,3,0,26,5
104,WH-SouthCentral-OK,ELE-2002,31,4,0,27,5
105,WH-Rockies-UT,ELE-2002,30,2,0,28,6
106,WH-Central-TX,ELE-2003,24,3,0,21,3
107,WH-East-NC,ELE-2003,29,2,0,27,5
108,WH-West-CA,ELE-2003,21,2,0,19,2
109,WH-North-IL,ELE-2003,22,3,0,19,4
110,WH-South-FL,ELE-2003,28,4,0,24,6
111,WH-Midwest-OH,ELE-2003,26,2,0,24,4
112,WH-Pacific-WA,ELE-2003,23,2,0,21,4
113,WH-Mountain-CO,ELE-2003,25,3,0,22,4
114,WH-Southwest-AZ,ELE-2003,21,3,0,18,3
115,WH-Southeast-GA,ELE-2003,27,2,0,25,5
116,WH-Northeast-NY,ELE-2003,30,3,0,27,6
117,WH-MidAtlantic-VA,ELE-2003,24,3,0,21,4
118,WH-GreatLakes-MI,ELE-2003,26,4,0,22,4
119,WH-SouthCentral-OK,ELE-2003,23,2,0,21,4
120,WH-Rockies-UT,ELE-2003,27,3,0,24,5
121,WH-Central-TX,ELE-2004,42,3,0,39,7
122,WH-East-NC,ELE-2004,40,4,0,36,9
123,WH-West-CA,ELE-2004,32,4,0,28,6
124,WH-North-IL,ELE-2004,39,5,0,34,8
125,WH-South-FL,ELE-2004,47,4,0,43,11
126,WH-Midwest-OH,ELE-2004,49,5,0,44,10
127,WH-Pacific-WA,ELE-2004,42,5,0,37,9
128,WH-Mountain-CO,ELE-2004,37,5,0,32,8
129,WH-Southwest-AZ,ELE-2004,38,3,0,35,7
130,WH-Southeast-GA,ELE-2004,47,5,0,42,10
131,WH-Northeast-NY,ELE-2004,41,5,0,36,10
132,WH-MidAtlantic-VA,ELE-2004,43,6,0,37,9
133,WH-GreatLakes-MI,ELE-2004,38,3,0,35,8
134,WH-SouthCentral-OK,ELE-2004,41,4,0,37,8
135,WH-Rockies-UT,ELE-2004,49,6,0,43,11
136,WH-Central-TX,ELE-2005,35,4,0,31,6
137,WH-East-NC,ELE-2005,27,3,0,24,6
138,WH-West-CA,ELE-2005,23,3,0,20,3
139,WH-North-IL,ELE-2005,29,2,0,27,5
140,WH-South-FL,ELE-2005,35,4,0,31,7
141,WH-Midwest-OH,ELE-2005,27,3,0,24,5
142,WH-Pacific-WA,ELE-2005,27,4,0,23,6
143,WH-Mountain-CO,ELE-2005,28,2,0,26,5
144,WH-Southwest-AZ,ELE-2005,28,3,0,25,4
145,WH-Southeast-GA,ELE-2005,38,5,0,33,8
146,WH-Northeast-NY,ELE-2005,32,4,0,28,7
147,WH-MidAtlantic-VA,ELE-2005,28,2,0,26,6
148,WH-GreatLakes-MI,ELE-2005,28,3,0,25,5
149,WH-SouthCentral-OK,ELE-2005,34,4,0,30,7
150,WH-Rockies-UT,ELE-2005,29,4,0,25,6
151,WH-Central-TX,FAS-3001,103,12,1,90,14
152,WH-East-NC,FAS-3001,96,13,1,82,17
153,WH-West-CA,FAS-3001,88,7,1,80,8
154,WH-North-IL,FAS-3001,112,11,1,100,16
155,WH-South-FL,FAS-3001,136,16,1,119,24
156,WH-Midwest-OH,FAS-3001,85,12,1,72,14
157,WH-Pacific-WA,FAS-3001,101,8,1,92,18
158,WH-Mountain-CO,FAS-3001,104,10,1,93,15
159,WH-Southwest-AZ,FAS-3001,108,13,1,94,12
160,WH-Southeast-GA,FAS-3001,98,14,1,83,15
161,WH-Northeast-NY,FAS-3001,100,8,1,91,21
162,WH-MidAtlantic-VA,FAS-3001,103,10,1,92,18
163,WH-GreatLakes-MI,FAS-3001,109,13,1,95,16
164,WH-SouthCentral-OK,FAS-3001,118,17,1,100,16
165,WH-Rockies-UT,FAS-3001,105,8,1,96,17
166,WH-Central-TX,FAS-3002,82,11,1,70,11
167,WH-East-NC,FAS-3002,103,8,1,94,18
168,WH-West-CA,FAS-3002,95,10,1,84,8
169,WH-North-IL,FAS-3002,119,14,1,104,16
170,WH-South-FL,FAS-3002,125,18,1,106,26
171,WH-Midwest-OH,FAS-3002,90,7,1,82,14
172,WH-Pacific-WA,FAS-3002,106,11,1,94,18
173,WH-Mountain-CO,FAS-3002,112,13,1,98,16
174,WH-Southwest-AZ,FAS-3002,115,16,1,98,12
175,WH-Southeast-GA,FAS-3002,90,7,1,82,17
176,WH-Northeast-NY,FAS-3002,106,11,1,94,21
177,WH-MidAtlantic-VA,FAS-3002,111,13,1,97,19
178,WH-GreatLakes-MI,FAS-3002,115,16,1,98,16
179,WH-SouthCentral-OK,FAS-3002,92,7,1,84,12
180,WH-Rockies-UT,FAS-3002,93,9,1,83,17
181,WH-Central-TX,FAS-3003,88,7,1,80,11
182,WH-East-NC,FAS-3003,110,11,1,98,18
183,WH-West-CA,FAS-3003,101,12,1,88,8
184,WH-North-IL,FAS-3003,104,15,1,88,16
185,WH-South-FL,FAS-3003,98,8,1,89,20
186,WH-Midwest-OH,FAS-3003,96,10,1,85,14
187,WH-Pacific-WA,FAS-3003,114,14,1,99,19
188,WH-Mountain-CO,FAS-3003,119,17,1,101,16
189,WH-Southwest-AZ,FAS-3003,103,8,1,94,14
190,WH-Southeast-GA,FAS-3003,96,10,1,85,17
191,WH-Northeast-NY,FAS-3003,114,14,1,99,22
192,WH-MidAtlantic-VA,FAS-3003,118,17,1,100,19
193,WH-GreatLakes-MI,FAS-3003,122,10,1,111,16
194,WH-SouthCentral-OK,FAS-3003,85,8,1,76,14
195,WH-Rockies-UT,FAS-3003,101,12,1,88,18
196,WH-Central-TX,FAS-3004,93,9,1,83,11
197,WH-East-NC,FAS-3004,116,14,1,101,18
198,WH-West-CA,FAS-3004,87,12,1,74,8
199,WH-North-IL,FAS-3004,111,9,1,101,16
200,WH-South-FL,FAS-3004,104,10,1,93,20
201,WH-Midwest-OH,FAS-3004,104,12,1,91,15
202,WH-Pacific-WA,FAS-3004,121,17,1,103,19
203,WH-Mountain-CO,FAS-3004,104,8,1,95,16
204,WH-Southwest-AZ,FAS-3004,82,8,1,73,11
205,WH-Southeast-GA,FAS-3004,103,12,1,90,18
206,WH-Northeast-NY,FAS-3004,120,17,1,102,22
207,WH-MidAtlantic-VA,FAS-3004,126,10,1,115,20
208,WH-GreatLakes-MI,FAS-3004,111,11,1,99,18
209,WH-SouthCentral-OK,FAS-3004,90,11,1,78,14
210,WH-Rockies-UT,FAS-3004,106,15,1,90,18
211,WH-Central-TX,FAS-3005,100,12,1,87,11
212,WH-East-NC,FAS-3005,104,15,1,88,19
213,WH-West-CA,FAS-3005,93,7,1,85,8
214,WH-North-IL,FAS-3005,90,9,1,80,14
215,WH-South-FL,FAS-3005,111,13,1,97,21
216,WH-Midwest-OH,FAS-3005,110,15,1,94,15
217,WH-Pacific-WA,FAS-3005,107,9,1,97,19
218,WH-Mountain-CO,FAS-3005,111,11,1,99,16
219,WH-Southwest-AZ,FAS-3005,88,11,1,76,11
220,WH-Southeast-GA,FAS-3005,110,15,1,94,18
221,WH-Northeast-NY,FAS-3005,128,10,1,117,23
222,WH-MidAtlantic-VA,FAS-3005,111,11,1,99,20
223,WH-GreatLakes-MI,FAS-3005,88,11,1,76,14
224,WH-SouthCentral-OK,FAS-3005,96,13,1,82,14
225,WH-Rockies-UT,FAS-3005,114,9,1,104,19
226,WH-Central-TX,FIL-4001,77,11,1,65,12
227,WH-East-NC,FIL-4001,99,8,1,90,20
228,WH-West-CA,FIL-4001,90,9,1,80,11
229,WH-North-IL,FIL-4001,83,10,1,72,14
230,WH-South-FL,FIL-4001,102,14,1,87,20
231,WH-Midwest-OH,FIL-4001,85,7,1,77,15
232,WH-Pacific-WA,FIL-4001,101,10,1,90,20
233,WH-Mountain-CO,FIL-4001,77,9,1,67,13
234,WH-Southwest-AZ,FIL-4001,82,11,1,70,12
235,WH-Southeast-GA,FIL-4001,101,8,1,92,18
236,WH-Northeast-NY,FIL-4001,101,10,1,90,23
237,WH-MidAtlantic-VA,FIL-4001,105,13,1,91,21
238,WH-GreatLakes-MI,FIL-4001,81,11,1,69,14
239,WH-SouthCentral-OK,FIL-4001,90,7,1,82,15
240,WH-Rockies-UT,FIL-4001,103,10,1,92,18
241,WH-Central-TX,FIL-4002,69,6,1,62,9
242,WH-East-NC,FIL-4002,84,8,1,75,14
243,WH-West-CA,FIL-4002,59,7,1,51,6
244,WH-North-IL,FIL-4002,73,10,1,62,10
245,WH-South-FL,FIL-4002,77,6,1,70,16
246,WH-Midwest-OH,FIL-4002,74,7,1,66,11
247,WH-Pacific-WA,FIL-4002,88,11,1,76,15
248,WH-Mountain-CO,FIL-4002,69,10,1,58,10
249,WH-Southwest-AZ,FIL-4002,71,6,1,64,8
250,WH-Southeast-GA,FIL-4002,75,8,1,66,14
251,WH-Northeast-NY,FIL-4002,87,10,1,76,17
252,WH-MidAtlantic-VA,FIL-4002,68,10,1,57,12
253,WH-GreatLakes-MI,FIL-4002,71,6,1,64,10
254,WH-SouthCentral-OK,FIL-4002,79,8,1,70,11
255,WH-Rockies-UT,FIL-4002,77,9,1,67,14
256,WH-Central-TX,FIL-4003,73,7,1,65,9
257,WH-East-NC,FIL-4003,90,11,1,78,15
258,WH-West-CA,FIL-4003,63,9,1,53,6
259,WH-North-IL,FIL-4003,66,5,1,60,11
260,WH-South-FL,FIL-4003,81,8,1,72,16
261,WH-Midwest-OH,FIL-4003,80,10,1,69,12
262,WH-Pacific-WA,FIL-4003,70,10,1,59,12
263,WH-Mountain-CO,FIL-4003,73,6,1,66,10
264,WH-Southwest-AZ,FIL-4003,63,6,1,56,8
265,WH-Southeast-GA,FIL-4003,80,10,1,69,14
266,WH-Northeast-NY,FIL-4003,93,13,1,79,18
267,WH-MidAtlantic-VA,FIL-4003,72,6,1,65,12
268,WH-GreatLakes-MI,FIL-4003,77,8,1,68,11
269,WH-SouthCentral-OK,FIL-4003,70,8,1,61,11
270,WH-Rockies-UT,FIL-4003,82,11,1,70,14
271,WH-Central-TX,FIL-4004,96,12,1,83,14
272,WH-East-NC,FIL-4004,116,16,1,99,21
273,WH-West-CA,FIL-4004,67,5,1,61,9
274,WH-North-IL,FIL-4004,85,8,1,76,15
275,WH-South-FL,FIL-4004,107,13,1,93,23
276,WH-Midwest-OH,FIL-4004,104,15,1,88,17
277,WH-Pacific-WA,FIL-4004,91,7,1,83,17
278,WH-Mountain-CO,FIL-4004,80,8,1,71,15
279,WH-Southwest-AZ,FIL-4004,82,10,1,71,12
280,WH-Southeast-GA,FIL-4004,104,15,1,88,20
281,WH-Northeast-NY,FIL-4004,88,7,1,80,18
282,WH-MidAtlantic-VA,FIL-4004,93,9,1,83,17
283,WH-GreatLakes-MI,FIL-4004,82,10,1,71,15
284,WH-SouthCentral-OK,FIL-4004,93,13,1,79,17
285,WH-Rockies-UT,FIL-4004,106,8,1,97,20
286,WH-Central-TX,FIL-4005,101,14,1,86,14
287,WH-East-NC,FIL-4005,76,6,1,69,15
288,WH-West-CA,FIL-4005,72,7,1,64,9
289,WH-North-IL,FIL-4005,90,11,1,78,15
290,WH-South-FL,FIL-4005,112,16,1,95,23
291,WH-Midwest-OH,FIL-4005,109,9,1,99,17
292,WH-Pacific-WA,FIL-4005,81,8,1,72,17
293,WH-Mountain-CO,FIL-4005,85,10,1,74,15
294,WH-Southwest-AZ,FIL-4005,90,13,1,76,14
295,WH-Southeast-GA,FIL-4005,109,9,1,99,20
296,WH-Northeast-NY,FIL-4005,94,9,1,84,19
297,WH-MidAtlantic-VA,FIL-4005,84,10,1,73,17
298,WH-GreatLakes-MI,FIL-4005,87,12,1,74,15
299,WH-SouthCentral-OK,FIL-4005,98,8,1,89,17
300,WH-Rockies-UT,FIL-4005,82,8,1,73,15
